기간,구분,맑음,흐림,눈,비
2012,합계,3540,754,57,302
2013,합계,2987,678,57,518
2014,합계,3930,388,48,303
2015,합계,3715,526,27,360
2016,합계,4541,660,34,286
2017,합계,3987,477,46,440
2018,합계,4022,382,51,467
