구분,맑음,흐림,눈,비
종로구,166,9,4,20
중구,156,23,5,20
용산구,132,2,3,17
성동구,151,5,0,14
광진구,123,5,1,14
동대문구,135,21,2,14
중랑구,175,4,3,22
성북구,151,17,1,13
강북구,126,12,2,20
도봉구,153,16,1,22
노원구,134,24,2,16
은평구,133,12,1,16
서대문구,176,11,2,12
마포구,170,0,1,19
양천구,136,3,1,16
강서구,231,50,1,28
구로구,186,10,3,21
금천구,117,6,1,14
영등포구,169,9,3,13
동작구,130,22,0,16
관악구,165,65,0,29
서초구,157,8,1,18
강남구,254,8,6,28
송파구,197,9,3,26
강동구,199,31,4,19
