구분,맑음,흐림,눈,비
종로구,223,13,1,14
중구,140,19,2,6
용산구,136,23,3,14
성동구,125,19,2,7
광진구,149,22,0,10
동대문구,176,23,0,10
중랑구,149,9,2,8
성북구,128,8,2,11
강북구,99,22,2,11
도봉구,161,23,0,6
노원구,160,57,2,10
은평구,130,36,3,12
서대문구,153,21,0,10
마포구,205,34,0,8
양천구,208,10,0,9
강서구,268,39,0,20
구로구,200,9,2,9
금천구,136,10,0,7
영등포구,212,10,2,12
동작구,142,13,0,18
관악구,200,53,0,19
서초구,189,62,2,15
강남구,475,20,3,17
송파구,188,40,3,7
강동구,189,65,3,16
